,delivery,ball,rightHandedBat,rightArmedBowl,bowlingStyle,ballSpeed,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
65747,1.5.2,2,True,True,SEAM,36.208,0,0,0,,0.313,7.13,-0.21,0.782,52.0,40.0
65748,1.5.3,3,True,True,SEAM,31.316,0,0,0,,0.484,10.745,-0.505,1.096,47.0,28.0
65749,1.5.4,4,True,True,SEAM,36.167,4,4,4,,0.467,9.137,-0.667,1.108,26.0,10.0
65750,1.5.5,5,True,True,SEAM,33.53,1,0,1,Wd,0.739,8.104,-1.321,0.844,5.0,5.0
65751,1.5.6,5,True,True,SEAM,34.84,0,0,0,,0.604,8.943,-1.016,0.935,30.0,44.0
65752,1.5.7,6,True,True,SEAM,35.083,1,1,1,,0.436,8.138,-0.645,0.82,23.0,15.0
65753,1.6.1,1,True,True,MEDIUM_SEAM,36.137,4,4,4,,0.208,7.01,-0.176,0.74,46.0,95.0
65754,1.6.2,2,True,True,MEDIUM_SEAM,35.485,0,0,0,,0.459,9.449,-0.776,1.108,34.0,40.0
65755,1.6.3,3,True,True,MEDIUM_SEAM,36.234,0,0,0,,0.144,6.831,-0.233,0.784,5.0,5.0
65756,1.6.4,4,True,True,MEDIUM_SEAM,36.178,0,0,0,,0.322,7.883,-0.398,0.913,33.0,28.0
65757,1.6.5,5,True,True,MEDIUM_SEAM,32.75,1,1,1,,0.166,8.287,-0.1,0.931,41.0,47.0
65759,1.7.1,1,True,False,SEAM,26.138,0,0,0,,0.356,5.205,-0.179,0.688,38.0,40.0
65760,1.7.2,2,True,False,SEAM,25.122,0,0,0,,0.324,5.131,-0.244,0.484,5.0,5.0
65761,1.7.3,3,True,False,SEAM,25.522,0,0,0,,-0.062,4.559,0.256,0.593,46.0,32.0
65762,1.7.4,4,True,False,SEAM,25.174,1,1,1,,0.054,4.373,0.097,0.678,66.0,74.0
65767,1.8.3,2,True,False,SEAM,36.883,4,4,4,,0.458,6.082,-0.201,0.77,11.0,21.0
65768,1.8.4,3,True,False,SEAM,37.318,1,1,1,,0.286,6.702,0.195,0.8,58.0,41.0
65770,1.8.6,5,True,False,SEAM,34.056,0,0,0,,0.523,8.883,-0.372,0.997,5.0,5.0
65771,1.8.7,6,True,False,SEAM,34.116,0,0,0,,0.188,7.279,0.262,0.742,65.0,46.0
65777,1.9.6,6,True,False,SEAM,25.125,1,0,1,Wd,-0.367,4.283,0.601,0.591,0.0,0.0
66499,1.8.2,2,True,False,SEAM,21.933,0,0,0,,0.073,5.392,0.079,0.748,57.0,40.0
66500,1.8.3,3,True,False,SEAM,21.044,2,2,2,,0.116,5.291,0.006,0.834,74.0,59.0
66501,1.8.4,4,True,False,SEAM,23.552,1,1,1,,0.057,4.501,0.046,0.742,40.0,75.0
66505,1.9.2,2,True,True,MEDIUM_SEAM,33.875,4,4,4,,0.164,9.299,0.253,1.017,88.0,18.0
66506,1.9.3,3,True,True,MEDIUM_SEAM,35.955,1,1,1,,0.298,5.644,-0.116,0.567,62.0,70.0
66509,1.9.6,6,True,True,MEDIUM_SEAM,37.615,0,0,0,,0.235,5.672,-0.051,0.464,46.0,55.0
66512,1.10.3,3,True,False,SEAM,21.954,1,1,1,,0.051,3.415,0.001,0.572,76.0,65.0
66514,1.10.5,5,True,False,SEAM,24.08,1,1,1,,0.267,5.447,-0.01,0.685,14.0,33.0
66516,1.11.1,1,True,False,SEAM,36.6,0,0,0,,-0.212,8.853,-0.066,1.14,60.0,39.0
66517,1.11.2,2,True,False,SEAM,29.444,1,1,1,,0.205,6.298,-0.523,0.881,40.0,57.0
66519,1.11.4,4,True,False,SEAM,38.214,0,0,0,,-0.383,10.764,0.409,1.55,0.0,0.0
67108,2.11.3,3,True,False,SEAM,24.873,1,1,1,,0.005,5.761,0.159,0.562,69.0,57.0
67110,2.11.5,5,True,False,SEAM,23.617,4,4,4,,0.36,6.066,-0.361,0.7,12.0,19.0
67111,2.11.6,6,True,False,SEAM,26.59,1,1,1,,-0.027,6.599,0.179,0.671,71.0,55.0
67112,2.12.1,1,True,True,SEAM,32.302,1,1,1,,0.573,6.536,-0.476,0.713,61.0,52.0
67116,2.12.5,5,True,True,SEAM,29.237,1,1,1,,0.585,8.604,-0.403,0.882,20.0,36.0
67120,2.13.3,3,True,False,SEAM,26.966,1,1,1,,0.287,7.776,-0.33,0.972,27.0,41.0
67125,2.14.2,2,True,True,SEAM,38.298,1,1,1,,0.54,11.573,-0.384,1.524,28.0,15.0
67129,2.14.6,6,True,True,SEAM,34.9,1,1,1,,0.189,4.702,-0.118,0.545,29.0,42.0
67130,2.15.1,1,True,True,MEDIUM_SEAM,34.838,4,4,4,,0.489,9.17,-0.419,1.025,8.0,26.0
67131,2.15.2,2,True,True,MEDIUM_SEAM,35.057,1,1,1,,0.513,12.246,-0.467,1.58,79.0,52.0
67136,2.16.1,1,True,False,SEAM,25.874,0,0,0,,0.121,5.343,-0.133,0.654,47.0,44.0
67137,2.16.2,2,True,False,SEAM,25.682,6,6,6,,-0.002,5.722,0.269,0.645,72.0,92.0
67138,2.16.3,3,True,False,SEAM,25.509,6,6,6,,0.021,5.307,0.061,0.716,70.0,94.0
67139,2.16.4,4,True,False,SEAM,24.681,0,0,0,,0.531,5.117,-0.755,0.813,0.0,0.0
67832,2.13.6,6,True,False,FAST_SEAM,34.386,0,0,0,,-0.052,8.726,-0.327,0.8,33.0,33.0
67834,2.14.2,2,True,True,FAST_SEAM,40.249,0,0,0,,0.443,5.758,-0.202,0.719,36.0,44.0
67835,2.14.3,3,True,True,FAST_SEAM,36.717,1,1,1,,0.61,12.357,-0.388,1.817,86.0,36.0
67837,2.14.5,5,True,True,FAST_SEAM,37.951,1,1,1,,0.239,6.601,0.089,0.661,81.0,47.0
67840,2.15.2,2,True,True,LEG_SPIN,25.883,0,0,0,,0.476,5.137,-0.133,0.568,47.0,31.0
67841,2.15.3,3,True,True,LEG_SPIN,22.813,0,0,0,,0.327,5.739,0.054,0.481,0.0,0.0
68693,1.15.5,5,True,False,ORTHODOX,22.351,1,1,1,,0.046,5.716,0.127,0.644,78.0,60.0
68697,1.16.3,3,True,False,SEAM,25.046,6,6,6,,0.39,8.731,-0.399,0.694,74.0,87.0
68698,1.16.4,4,True,False,SEAM,26.062,1,1,1,,0.122,2.263,-0.045,0.553,46.0,86.0
68700,1.16.6,6,True,False,SEAM,25.279,1,1,1,,0.006,3.665,-0.056,0.513,32.0,75.0
68701,1.17.1,1,True,True,MEDIUM_SEAM,27.358,0,0,0,,0.705,3.851,-0.629,0.416,46.0,39.0
68702,1.17.2,2,True,True,MEDIUM_SEAM,39.696,4,4,4,,0.832,3.294,-0.834,0.405,46.0,6.0
68703,1.17.3,3,True,True,MEDIUM_SEAM,35.852,0,0,0,,0.76,2.139,-0.714,0.258,45.0,44.0
68705,1.17.5,4,True,True,MEDIUM_SEAM,39.383,1,1,1,,1.061,4.108,-1.157,0.373,34.0,46.0
68707,1.17.7,6,True,True,MEDIUM_SEAM,37.745,2,2,2,,0.842,3.681,-0.792,0.348,12.0,27.0
68709,1.18.2,2,True,False,SEAM,37.53,4,4,4,,0.426,5.005,-0.438,0.434,63.0,6.0
68710,1.18.3,3,True,False,SEAM,28.74,4,4,4,,0.387,8.887,-0.663,0.877,56.0,6.0
68711,1.18.4,4,True,False,SEAM,32.901,0,0,0,,0.531,3.301,-0.564,0.264,5.0,5.0
68712,1.18.5,5,True,False,SEAM,28.608,0,0,0,,0.152,6.27,-0.003,0.679,0.0,0.0
69464,2.10.2,2,True,True,FAST_SEAM,39.484,0,0,0,,0.293,7.061,-0.193,0.865,47.0,36.0
69465,2.10.3,3,True,True,FAST_SEAM,39.303,1,1,1,,0.374,6.619,-0.342,0.629,72.0,76.0
69470,2.11.2,2,True,False,ORTHODOX,21.361,1,1,1,,-0.165,2.949,0.465,0.696,67.0,12.0
69472,2.11.4,4,True,False,ORTHODOX,22.195,2,2,2,,0.064,4.354,0.143,0.568,62.0,82.0
69473,2.11.5,5,True,False,ORTHODOX,22.45,0,0,0,,0.143,5.933,0.297,0.641,52.0,29.0
69474,2.11.6,6,True,False,ORTHODOX,23.806,1,1,1,,0.046,3.987,0.183,0.561,29.0,75.0
69475,2.12.1,1,True,True,FAST_SEAM,38.809,4,4,4,,0.423,8.97,-0.277,1.015,8.0,25.0
69476,2.12.2,2,True,True,FAST_SEAM,39.807,1,1,1,,0.45,6.757,-0.381,0.638,16.0,50.0
69480,2.12.6,6,True,True,FAST_SEAM,39.461,1,1,1,,0.391,12.157,-0.21,1.899,87.0,23.0
69481,2.13.1,1,True,True,OFF_SPIN,23.843,0,0,0,,0.389,6.803,-0.34,0.846,42.0,41.0
69482,2.13.2,2,True,True,OFF_SPIN,23.148,0,0,0,,0.374,5.755,-0.255,0.751,56.0,33.0
69483,2.13.3,3,True,True,OFF_SPIN,23.892,0,0,0,,0.092,6.681,-0.083,0.91,52.0,39.0
69484,2.13.4,4,True,True,OFF_SPIN,24.46,0,0,0,,0.4,5.4,-0.558,0.641,34.0,27.0
69485,2.13.5,5,True,True,OFF_SPIN,21.404,4,4,4,,0.62,5.113,-0.595,0.622,88.0,71.0
69486,2.13.6,6,True,True,OFF_SPIN,23.37,0,0,0,,0.365,6.838,-0.791,0.848,0.0,0.0
70702,2.12.6,6,True,True,OFF_SPIN,26.214,1,1,1,,0.128,5.475,0.087,0.758,68.0,29.0
70703,2.13.1,1,True,True,LEG_SPIN,26.054,0,0,0,,0.548,5.421,-0.594,0.59,41.0,21.0
70704,2.13.2,2,True,True,LEG_SPIN,26.305,1,1,1,,0.374,6.946,0.008,0.886,78.0,66.0
70709,2.14.1,1,True,True,SEAM,31.878,1,0,0,Lb,0.138,5.191,-0.104,0.452,60.0,28.0
70711,2.14.3,3,True,True,SEAM,24.829,1,1,1,,0.08,7.234,0.06,0.6,59.0,84.0
70713,2.14.5,5,True,True,SEAM,25.748,1,1,1,,-0.364,5.834,0.657,0.635,70.0,80.0
70716,2.15.2,2,True,True,MEDIUM_SEAM,36.8,4,4,4,,0.254,8.29,0.003,0.863,62.0,7.0
70717,2.15.3,3,True,True,MEDIUM_SEAM,30.753,1,1,1,,0.385,7.3,-0.427,0.898,37.0,80.0
70722,2.16.2,2,True,True,LEG_SPIN,25.043,2,2,2,,0.394,4.676,-0.156,0.529,82.0,47.0
70723,2.16.3,3,True,True,LEG_SPIN,22.631,1,1,1,,-0.201,2.53,0.333,0.586,77.0,67.0
70725,2.16.5,5,True,True,LEG_SPIN,24.254,6,6,6,,0.107,5.003,-0.215,0.668,63.0,93.0
70726,2.16.6,6,True,True,LEG_SPIN,25.279,1,1,1,,0.288,3.551,-0.083,0.604,64.0,84.0
70727,2.17.1,1,True,False,SEAM,33.259,1,1,1,,0.389,8.534,-0.025,0.961,23.0,36.0
70735,2.18.2,2,True,True,SEAM,37.157,1,0,0,Lb,0.236,12.649,0.366,1.798,39.0,23.0
70741,2.19.2,2,True,True,LEG_SPIN,23.326,1,1,1,,-0.01,6.982,-0.122,0.634,78.0,50.0
72591,2.4.5,5,True,False,MEDIUM_SEAM,36.131,2,2,2,,0.027,4.468,-0.18,0.456,16.0,54.0
72592,2.4.6,6,True,False,MEDIUM_SEAM,37.914,0,0,0,,0.153,7.264,-0.578,0.821,0.0,0.0
73613,2.16.4,3,True,True,SEAM,37.684,1,1,1,,0.448,2.803,-0.375,0.329,53.0,61.0
73616,2.16.7,5,True,True,SEAM,32.557,4,4,4,,0.723,10.333,-0.749,1.182,49.0,5.0
73617,2.16.8,6,True,True,SEAM,41.479,2,2,2,,0.449,5.802,-0.476,0.641,14.0,27.0
73621,2.17.4,3,True,True,MEDIUM_SEAM,37.595,1,1,1,,0.243,8.205,-0.164,0.84,16.0,29.0
73626,2.18.1,1,True,True,FAST_SEAM,36.356,1,1,1,,0.552,4.987,-0.382,0.545,78.0,72.0
73628,2.18.3,3,True,True,FAST_SEAM,38.574,1,1,1,,0.099,0.428,-0.081,0.081,75.0,79.0
73631,2.18.6,6,True,True,FAST_SEAM,38.423,6,6,6,,-0.081,4.319,0.4,0.548,90.0,63.0
73633,2.19.2,2,True,True,SEAM,34.141,1,0,1,Wd,1.051,6.862,-1.294,0.652,5.0,5.0
73634,2.19.3,2,True,True,SEAM,34.35,0,0,0,,0.804,7.384,-0.924,0.71,5.0,5.0
73930,1.9.6,6,True,False,ORTHODOX,25.31,1,1,1,,0.08,6.063,-0.005,0.844,74.0,53.0
73931,1.10.1,1,True,True,LEG_SPIN,23.491,1,1,1,,-0.002,3.784,-0.003,0.652,63.0,83.0
73935,1.10.5,5,True,True,LEG_SPIN,22.499,0,0,0,,0.104,4.346,-0.11,0.637,37.0,38.0
73936,1.10.6,6,True,True,LEG_SPIN,30.784,0,0,0,,0.415,3.307,-0.338,0.418,37.0,46.0
73939,1.11.3,3,True,True,MEDIUM_SEAM,34.971,1,1,1,,0.344,7.815,-0.076,0.878,59.0,34.0
73943,1.12.1,1,True,False,ORTHODOX,27.041,1,1,1,,-0.049,5.226,0.211,0.737,82.0,50.0
73947,1.12.5,5,True,False,ORTHODOX,25.469,0,0,0,,0.18,5.745,-0.077,0.875,42.0,22.0
73948,1.12.6,6,True,False,ORTHODOX,28.26,4,4,4,,0.314,5.548,-0.125,0.682,42.0,6.0
73953,1.13.5,5,True,True,LEG_SPIN,27.147,1,1,1,,0.213,2.988,-0.12,0.42,32.0,80.0
73957,1.14.3,3,True,True,MEDIUM_SEAM,35.002,0,0,0,,-0.385,5.101,0.744,0.579,0.0,0.0
74835,1.18.3,3,True,True,FAST_SEAM,34.354,1,1,1,,-0.062,2.058,0.14,0.353,72.0,41.0
74838,1.18.6,6,True,True,FAST_SEAM,40.843,4,4,4,,0.307,3.342,-0.16,0.389,8.0,25.0
74843,1.19.5,5,True,True,LEG_SPIN,26.165,2,2,2,,0.29,2.807,-0.199,0.602,82.0,48.0
74844,1.19.6,6,True,True,LEG_SPIN,26.281,1,1,1,,0.496,4.07,-0.636,0.483,24.0,72.0
74845,1.20.1,1,True,True,FAST_SEAM,40.054,0,0,0,,-0.025,2.789,0.169,0.298,5.0,5.0
74846,1.20.2,2,True,True,FAST_SEAM,37.258,1,0,0,Lb,0.08,8.855,0.451,1.365,37.0,27.0
74848,1.20.4,4,True,True,FAST_SEAM,38.987,4,4,4,,-0.049,3.981,0.355,0.495,37.0,6.0
76327,1.6.1,1,True,True,SEAM,34.513,0,0,0,,0.173,6.252,-0.076,0.725,46.0,40.0
76328,1.6.2,2,True,True,SEAM,31.082,0,0,0,,0.293,5.794,-0.123,0.714,46.0,42.0
76329,1.6.3,3,True,True,SEAM,35.466,0,0,0,,0.27,7.727,-0.198,0.81,36.0,27.0
76330,1.6.4,4,True,True,SEAM,34.87,0,0,0,,0.425,7.769,-0.671,0.805,5.0,5.0
76331,1.6.5,5,True,True,SEAM,33.523,0,0,0,,0.261,8.435,0.002,0.973,5.0,5.0
76332,1.6.6,6,True,True,SEAM,35.785,4,4,4,,0.057,8.576,0.306,1.048,59.0,6.0
76334,1.7.2,2,True,True,SEAM,35.591,0,0,0,,0.543,7.142,-0.219,0.797,39.0,38.0
76335,1.7.3,3,True,True,SEAM,31.514,1,1,1,,0.19,7.075,0.266,0.789,89.0,34.0
76337,1.7.5,5,True,True,SEAM,33.741,1,0,1,Wd,0.75,12.66,-0.926,1.802,5.0,5.0
76338,1.7.6,5,True,True,SEAM,35.668,1,1,1,,0.533,7.483,-0.342,0.733,13.0,41.0
76340,1.8.1,1,True,False,SEAM,24.67,1,1,1,,0.137,6.553,0.046,0.81,62.0,81.0
76344,1.8.5,5,True,False,SEAM,24.658,2,2,2,,0.191,7.61,0.059,0.745,77.0,71.0
76345,1.8.6,6,True,False,SEAM,25.913,1,1,1,,0.28,3.211,-0.176,0.338,40.0,85.0
76346,1.9.1,1,True,True,SEAM,36.125,4,4,4,,0.751,8.852,-0.713,1.014,9.0,26.0
76347,1.9.2,2,True,True,SEAM,34.905,1,1,1,,0.567,7.241,-0.345,0.712,32.0,36.0
76349,1.9.4,4,True,True,SEAM,33.559,0,0,0,,0.399,11.987,0.291,1.774,5.0,5.0
76350,1.9.5,5,True,True,SEAM,35.269,2,2,2,,0.517,6.776,-0.316,0.861,20.0,67.0
76351,1.9.6,6,True,True,SEAM,30.966,0,0,0,,0.637,12.516,-0.802,1.833,5.0,5.0
76353,1.10.2,2,True,True,MEDIUM_SEAM,30.15,2,2,2,,-0.028,4.549,0.213,0.62,85.0,55.0
76354,1.10.3,3,True,True,MEDIUM_SEAM,35.164,1,1,1,,0.149,6.851,0.115,0.713,86.0,37.0
76357,1.10.6,6,True,True,MEDIUM_SEAM,34.803,0,0,0,,0.481,9.392,-0.616,1.209,5.0,5.0
76359,1.11.2,2,True,False,ORTHODOX,27.21,2,2,2,,-0.049,4.506,0.201,0.676,66.0,71.0
76360,1.11.3,3,True,False,ORTHODOX,27.556,1,1,1,,0.16,6.995,-0.119,0.792,66.0,74.0
76363,1.11.6,6,True,False,ORTHODOX,27.13,4,4,4,,0.321,6.114,-0.106,0.715,12.0,22.0
76367,1.12.4,3,True,True,SEAM,33.492,1,1,1,,0.639,6.747,-0.49,0.795,24.0,66.0
76369,1.12.6,5,True,True,SEAM,30.292,1,1,1,,0.388,9.055,0.192,0.91,64.0,39.0
76372,1.13.1,1,True,False,SEAM,24.689,1,1,1,,-0.17,3.716,0.408,0.578,86.0,43.0
76374,1.13.3,3,True,False,SEAM,24.117,1,1,1,,0.117,1.519,-0.013,0.349,44.0,76.0
76376,1.13.5,5,True,False,SEAM,24.098,1,1,1,,0.109,5.993,0.043,0.672,82.0,68.0
76378,1.14.1,1,True,True,MEDIUM_SEAM,35.401,1,1,1,,-0.319,0.041,0.322,0.016,68.0,15.0
76381,1.14.4,4,True,True,MEDIUM_SEAM,35.688,0,0,0,,0.517,8.957,-0.378,0.713,37.0,37.0
76382,1.14.5,5,True,True,MEDIUM_SEAM,36.039,0,0,0,,0.18,3.246,-0.08,0.313,0.0,0.0
78243,1.1.4,3,True,True,SEAM,38.806,5,5,5,,0.287,8.333,-0.107,0.774,46.0,29.0
78262,1.4.4,4,True,True,FAST_SEAM,37.01,6,6,6,,0.424,6.585,-0.252,0.494,67.0,89.0
78263,1.4.5,5,True,True,FAST_SEAM,37.506,6,6,6,,0.704,10.909,-0.692,1.343,51.0,5.0
78264,1.4.6,6,True,True,FAST_SEAM,38.343,0,0,0,,0.341,7.995,0.226,1.008,5.0,5.0
78269,1.5.5,5,True,True,LEG_SPIN,24.976,1,1,1,,0.238,5.121,-0.099,0.607,64.0,80.0
78272,1.6.2,2,True,True,MEDIUM_SEAM,31.827,0,0,0,,0.169,5.037,-0.114,0.636,65.0,45.0
78273,1.6.3,3,True,True,MEDIUM_SEAM,35.628,0,0,0,,0.54,13.406,-0.724,1.956,5.0,5.0
78274,1.6.4,4,True,True,MEDIUM_SEAM,38.132,4,4,4,,0.235,7.412,-0.054,0.744,30.0,86.0
78275,1.6.5,5,True,True,MEDIUM_SEAM,35.36,6,6,6,,0.518,12.239,-0.595,1.166,23.0,81.0
78276,1.6.6,6,True,True,MEDIUM_SEAM,37.32,2,2,2,,0.367,10.774,0.098,1.071,86.0,35.0
78281,1.7.5,5,True,True,LEG_SPIN,22.408,0,0,0,,0.049,5.406,-0.051,0.672,0.0,0.0
79549,2.1.6,6,True,False,FAST_SEAM,39.03,4,4,4,,-0.011,5.055,0.011,0.53,92.0,51.0
79554,2.2.5,4,True,True,FAST_SEAM,37.745,1,0,1,Wd,0.777,4.797,-0.989,0.491,5.0,5.0
79555,2.2.6,4,True,True,FAST_SEAM,37.97,0,0,0,,0.28,9.532,-0.139,1.107,55.0,40.0
79556,2.2.7,5,True,True,FAST_SEAM,36.865,1,1,1,,0.468,8.262,-0.372,1.114,37.0,12.0
79558,2.3.1,1,True,False,FAST_SEAM,39.004,1,0,1,Wd,-0.286,6.143,0.396,0.611,5.0,5.0
79559,2.3.2,1,True,False,FAST_SEAM,38.31,0,0,0,,-0.03,8.062,-0.023,1.097,5.0,5.0
79560,2.3.3,2,True,False,FAST_SEAM,37.478,1,1,1,,-0.189,8.116,0.181,0.945,63.0,23.0
79565,2.4.1,1,True,True,FAST_SEAM,37.896,1,0,1,Wd,0.675,9.72,-1.021,1.186,5.0,5.0
79566,2.4.2,1,True,True,FAST_SEAM,38.874,1,0,1,Wd,0.884,3.44,-0.988,0.448,5.0,5.0
79567,2.4.3,1,True,True,FAST_SEAM,38.375,1,1,1,,0.423,9.277,-0.163,0.999,36.0,37.0
79571,2.4.7,5,True,True,FAST_SEAM,38.064,6,6,6,,-0.054,5.759,0.33,0.624,66.0,7.0
79572,2.4.8,6,True,True,FAST_SEAM,37.116,2,2,2,,0.436,9.002,-0.267,1.037,36.0,87.0
79578,2.5.6,6,True,True,OFF_SPIN,26.267,0,0,0,,0.496,8.009,-0.64,0.979,32.0,36.0
79582,2.6.4,3,True,False,UNORTHODOX,23.478,0,0,0,,0.196,4.199,-0.157,0.506,47.0,38.0
79583,2.6.5,4,True,False,UNORTHODOX,23.566,1,1,1,,0.519,5.575,-0.428,0.701,72.0,71.0
79585,2.6.7,6,True,False,UNORTHODOX,21.438,1,1,1,,0.402,4.813,-0.31,0.787,35.0,37.0
79586,2.7.1,1,True,True,OFF_SPIN,24.65,2,2,2,,0.292,7.08,-0.018,0.989,77.0,72.0
79587,2.7.2,2,True,True,OFF_SPIN,25.077,0,0,0,,0.409,6.815,-0.229,0.484,44.0,38.0
79588,2.7.3,3,True,True,OFF_SPIN,25.738,0,0,0,,0.247,5.143,-0.29,0.656,38.0,38.0
79589,2.7.4,4,True,True,OFF_SPIN,25.053,6,6,6,,0.295,4.513,-0.183,0.551,87.0,68.0
79590,2.7.5,5,True,True,OFF_SPIN,25.56,1,1,1,,0.333,6.666,-0.206,0.803,31.0,77.0
79592,2.8.1,1,True,False,UNORTHODOX,23.924,1,1,1,,0.335,6.532,-0.383,0.689,35.0,82.0
79597,2.8.6,6,True,False,UNORTHODOX,23.136,1,1,1,,0.115,4.855,-0.221,0.841,64.0,29.0
79598,2.9.1,1,True,False,SEAM,34.769,0,0,0,,0.256,6.953,0.033,0.885,64.0,41.0
79599,2.9.2,2,True,False,SEAM,34.001,0,0,0,,0.281,8.933,0.316,1.046,5.0,5.0
80236,2.1.3,3,True,True,MEDIUM_SEAM,35.717,0,0,0,,0.297,5.849,-0.306,0.687,36.0,35.0
80237,2.1.4,4,True,True,MEDIUM_SEAM,38.742,0,0,0,,0.389,8.154,-0.416,0.999,5.0,5.0
80238,2.1.5,5,True,True,MEDIUM_SEAM,39.136,4,4,4,,0.178,7.034,0.031,0.859,82.0,77.0
80239,2.1.6,6,True,True,MEDIUM_SEAM,39.498,1,0,0,Lb,0.379,7.013,0.101,0.859,41.0,32.0
80240,2.2.1,1,True,False,MEDIUM_SEAM,38.568,4,4,4,,0.059,8.106,-0.279,0.893,63.0,7.0
80241,2.2.2,2,True,False,MEDIUM_SEAM,36.404,1,1,1,,-0.276,10.23,-0.243,1.249,32.0,13.0
80246,2.3.1,1,True,True,MEDIUM_SEAM,37.116,4,4,4,,0.644,9.272,-0.934,1.117,8.0,54.0
80247,2.3.2,2,True,True,MEDIUM_SEAM,38.802,0,0,0,,0.169,4.332,0.095,0.442,44.0,32.0
80248,2.3.3,3,True,True,MEDIUM_SEAM,37.554,0,0,0,,0.319,7.575,-0.279,0.932,5.0,5.0
80249,2.3.4,4,True,True,MEDIUM_SEAM,38.757,1,1,1,,0.248,7.154,0.058,0.832,57.0,58.0
80252,2.4.1,1,True,False,MEDIUM_SEAM,32.888,0,0,0,,-0.253,7.976,0.045,0.575,0.0,0.0
80709,2.1.5,4,True,True,SEAM,25.961,0,0,0,,0.179,4.094,-0.208,0.455,50.0,41.0
80710,2.1.6,5,True,True,SEAM,26.127,1,1,1,,-0.024,4.293,0.126,0.578,58.0,75.0
80716,2.2.5,5,True,True,SEAM,35.119,0,0,0,,-0.068,5.014,0.259,0.542,0.0,0.0
81696,2.2.6,5,True,True,MEDIUM_SEAM,37.307,1,1,1,,0.35,7.752,-0.115,0.816,58.0,56.0
81705,2.3.8,4,True,True,SEAM,34.695,0,0,0,,0.427,7.561,-0.754,0.744,5.0,5.0
81706,2.3.9,5,True,True,SEAM,34.428,0,0,0,,0.324,9.054,-0.477,0.821,56.0,42.0
81707,2.3.10,6,True,True,SEAM,34.929,0,0,0,,0.458,8.973,-0.715,0.872,34.0,29.0
81710,2.4.3,3,True,True,SEAM,32.773,4,4,4,,-0.03,6.908,0.194,0.799,80.0,13.0
81711,2.4.4,4,True,True,SEAM,33.714,0,0,0,,0.346,6.787,-0.37,0.791,38.0,48.0
81712,2.4.5,5,True,True,SEAM,33.358,1,1,1,,0.156,7.375,-0.081,0.881,58.0,60.0
81715,2.5.2,2,True,True,MEDIUM_SEAM,37.921,6,6,6,,0.266,8.025,-0.034,0.944,56.0,5.0
81716,2.5.3,3,True,True,MEDIUM_SEAM,25.232,0,0,0,,0.29,6.329,-0.267,0.77,43.0,38.0
81717,2.5.4,4,True,True,MEDIUM_SEAM,33.108,1,1,1,,0.238,7.128,0.055,0.818,86.0,40.0
81721,2.6.2,2,True,True,MEDIUM_SEAM,32.689,1,1,1,,0.15,5.747,-0.028,0.744,57.0,60.0
81727,2.7.2,2,True,False,ORTHODOX,25.476,0,0,0,,0.214,5.32,-0.145,0.816,38.0,41.0
81728,2.7.3,3,True,False,ORTHODOX,27.327,1,1,1,,0.121,5.368,0.04,0.773,60.0,82.0
81730,2.7.5,5,True,False,ORTHODOX,26.907,1,1,1,,0.071,5.309,0.14,0.869,81.0,27.0
81734,2.8.3,3,True,True,SEAM,36.289,1,0,0,Lb,0.312,7.601,-0.229,0.758,38.0,35.0
81737,2.8.6,6,True,True,SEAM,31.529,0,0,0,,0.496,8.998,-0.728,0.854,5.0,5.0
81739,2.9.2,2,True,False,ORTHODOX,28.2,1,1,1,,0.368,7.257,0.009,0.907,30.0,73.0
81743,2.9.6,6,True,False,ORTHODOX,28.083,6,6,6,,0.372,4.563,-0.265,0.532,62.0,94.0
81747,2.10.4,4,True,True,MEDIUM_SEAM,33.419,1,1,1,,0.5,7.417,-0.461,0.833,12.0,45.0
81749,2.10.6,6,True,True,MEDIUM_SEAM,31.368,1,0,0,Lb,0.041,6.656,0.344,0.871,68.0,18.0
81750,2.11.1,1,True,False,ORTHODOX,27.674,0,0,0,,0.357,5.105,-0.302,0.579,34.0,42.0
81751,2.11.2,2,True,False,ORTHODOX,28.169,1,1,1,,0.235,5.998,0.01,0.766,60.0,84.0
81753,2.11.4,4,True,False,ORTHODOX,28.107,1,1,1,,0.611,4.519,-0.588,0.569,41.0,85.0
81756,2.12.1,1,True,True,SEAM,32.575,0,0,0,,0.335,9.621,-0.38,1.126,0.0,0.0
83175,2.1.2,2,True,True,MEDIUM_SEAM,37.643,1,1,1,,0.721,7.386,-0.817,0.607,34.0,37.0
83178,2.1.5,4,True,True,MEDIUM_SEAM,37.475,0,0,0,,0.533,7.858,-0.575,0.566,56.0,45.0
83179,2.1.6,5,True,True,MEDIUM_SEAM,37.096,0,0,0,,0.481,7.651,-0.575,0.764,35.0,36.0
83180,2.1.7,6,True,True,MEDIUM_SEAM,37.58,6,6,6,,0.453,8.769,-0.586,0.95,91.0,76.0
83182,2.2.2,2,True,True,FAST_SEAM,39.004,4,4,4,,0.466,7.057,-0.344,0.7,8.0,27.0
83183,2.2.3,3,True,True,FAST_SEAM,40.316,1,0,0,Lb,0.509,6.532,-0.362,0.602,66.0,30.0
83186,2.2.6,6,True,True,FAST_SEAM,35.415,0,0,0,,0.865,10.277,-0.935,0.951,5.0,5.0
