,matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
65755,4050,1.6.3,3,Jos Buttler,509,True,Parthiv Patel,44,Dhawal Kulkarni,101,True,MEDIUM_SEAM,36.234,,0,0,0,,-0.144,6.831,-0.233,0.784,5.0,5.0
65756,4050,1.6.4,4,Jos Buttler,509,True,Parthiv Patel,44,Dhawal Kulkarni,101,True,MEDIUM_SEAM,36.178,,0,0,0,,-0.322,7.883,-0.398,0.913,33.0,28.0
65757,4050,1.6.5,5,Jos Buttler,509,True,Parthiv Patel,44,Dhawal Kulkarni,101,True,MEDIUM_SEAM,32.75,,1,1,1,,-0.166,8.287,-0.1,0.931,41.0,47.0
65759,4050,1.7.1,1,Jos Buttler,509,True,Parthiv Patel,44,Shadab Jakati,10,False,SEAM,26.138,,0,0,0,,-0.356,5.205,-0.179,0.688,38.0,40.0
65760,4050,1.7.2,2,Jos Buttler,509,True,Parthiv Patel,44,Shadab Jakati,10,False,SEAM,25.122,,0,0,0,,-0.324,5.131,-0.244,0.484,5.0,5.0
65761,4050,1.7.3,3,Jos Buttler,509,True,Parthiv Patel,44,Shadab Jakati,10,False,SEAM,25.522,,0,0,0,,0.062,4.559,0.256,0.593,46.0,32.0
65762,4050,1.7.4,4,Jos Buttler,509,True,Parthiv Patel,44,Shadab Jakati,10,False,SEAM,25.174,,1,1,1,,-0.054,4.373,0.097,0.678,66.0,74.0
65767,4050,1.8.3,2,Jos Buttler,509,True,Parthiv Patel,44,James Faulkner,193,False,SEAM,36.883,,4,4,4,,-0.458,6.082,-0.201,0.77,11.0,21.0
65768,4050,1.8.4,3,Jos Buttler,509,True,Parthiv Patel,44,James Faulkner,193,False,SEAM,37.318,,1,1,1,,-0.286,6.702,0.195,0.8,58.0,41.0
65770,4050,1.8.6,5,Jos Buttler,509,True,Parthiv Patel,44,James Faulkner,193,False,SEAM,34.056,,0,0,0,,-0.523,8.883,-0.372,0.997,5.0,5.0
65771,4050,1.8.7,6,Jos Buttler,509,True,Parthiv Patel,44,James Faulkner,193,False,SEAM,34.116,,0,0,0,,-0.188,7.279,0.262,0.742,65.0,46.0
65777,4050,1.9.6,6,Jos Buttler,509,True,Parthiv Patel,44,Shadab Jakati,10,False,SEAM,25.125,st Dinesh Karthik b Shadab Jakati,1,0,1,Wd,0.367,4.283,0.601,0.591,0.0,0.0
66499,4053,1.8.2,2,Jos Buttler,509,True,Ambati Rayudu,100,Bipul Sharma,69,False,SEAM,21.933,,0,0,0,,-0.073,5.392,0.079,0.748,57.0,40.0
66500,4053,1.8.3,3,Jos Buttler,509,True,Ambati Rayudu,100,Bipul Sharma,69,False,SEAM,21.044,,2,2,2,,-0.116,5.291,0.006,0.834,74.0,59.0
66501,4053,1.8.4,4,Jos Buttler,509,True,Ambati Rayudu,100,Bipul Sharma,69,False,SEAM,23.552,,1,1,1,,-0.057,4.501,0.046,0.742,40.0,75.0
66505,4053,1.9.2,2,Jos Buttler,509,True,Ambati Rayudu,100,Moises Henriques,388,True,MEDIUM_SEAM,33.875,,4,4,4,,-0.164,9.299,0.253,1.017,88.0,18.0
66506,4053,1.9.3,3,Jos Buttler,509,True,Ambati Rayudu,100,Moises Henriques,388,True,MEDIUM_SEAM,35.955,,1,1,1,,-0.298,5.644,-0.116,0.567,62.0,70.0
66509,4053,1.9.6,6,Jos Buttler,509,True,Ambati Rayudu,100,Moises Henriques,388,True,MEDIUM_SEAM,37.615,,0,0,0,,-0.235,5.672,-0.051,0.464,46.0,55.0
66512,4053,1.10.3,3,Jos Buttler,509,True,Ambati Rayudu,100,Bipul Sharma,69,False,SEAM,21.954,,1,1,1,,-0.051,3.415,0.001,0.572,76.0,65.0
66514,4053,1.10.5,5,Jos Buttler,509,True,Ambati Rayudu,100,Bipul Sharma,69,False,SEAM,24.08,,1,1,1,,-0.267,5.447,-0.01,0.685,14.0,33.0
66516,4053,1.11.1,1,Jos Buttler,509,True,Ambati Rayudu,100,Barinder Sran,2746,False,SEAM,36.6,,0,0,0,,0.212,8.853,-0.066,1.14,60.0,39.0
66517,4053,1.11.2,2,Jos Buttler,509,True,Ambati Rayudu,100,Barinder Sran,2746,False,SEAM,29.444,,1,1,1,,-0.205,6.298,-0.523,0.881,40.0,57.0
66519,4053,1.11.4,4,Jos Buttler,509,True,Ambati Rayudu,100,Barinder Sran,2746,False,SEAM,38.214,c Naman Ojha b Barinder Sran,0,0,0,,0.383,10.764,0.409,1.55,0.0,0.0
67108,4055,2.11.3,3,Jos Buttler,509,True,Rohit Sharma,107,Iqbal Abdulla,85,False,SEAM,24.873,,1,1,1,,-0.005,5.761,0.159,0.562,69.0,57.0
67110,4055,2.11.5,5,Jos Buttler,509,True,Rohit Sharma,107,Iqbal Abdulla,85,False,SEAM,23.617,,4,4,4,,-0.36,6.066,-0.361,0.7,12.0,19.0
67111,4055,2.11.6,6,Jos Buttler,509,True,Rohit Sharma,107,Iqbal Abdulla,85,False,SEAM,26.59,,1,1,1,,0.027,6.599,0.179,0.671,71.0,55.0
67112,4055,2.12.1,1,Jos Buttler,509,True,Rohit Sharma,107,Stuart Binny,148,True,SEAM,32.302,,1,1,1,,-0.573,6.536,-0.476,0.713,61.0,52.0
67116,4055,2.12.5,5,Jos Buttler,509,True,Rohit Sharma,107,Stuart Binny,148,True,SEAM,29.237,,1,1,1,,-0.585,8.604,-0.403,0.882,20.0,36.0
67120,4055,2.13.3,3,Jos Buttler,509,True,Rohit Sharma,107,Iqbal Abdulla,85,False,SEAM,26.966,,1,1,1,,-0.287,7.776,-0.33,0.972,27.0,41.0
67125,4055,2.14.2,2,Jos Buttler,509,True,Kieron Pollard,210,Varun Aaron,61,True,SEAM,38.298,,1,1,1,,-0.54,11.573,-0.384,1.524,28.0,15.0
67129,4055,2.14.6,6,Jos Buttler,509,True,Kieron Pollard,210,Varun Aaron,61,True,SEAM,34.9,,1,1,1,,-0.189,4.702,-0.118,0.545,29.0,42.0
67130,4055,2.15.1,1,Jos Buttler,509,True,Kieron Pollard,210,Shane Watson,227,True,MEDIUM_SEAM,34.838,,4,4,4,,-0.489,9.17,-0.419,1.025,8.0,26.0
67131,4055,2.15.2,2,Jos Buttler,509,True,Kieron Pollard,210,Shane Watson,227,True,MEDIUM_SEAM,35.057,,1,1,1,,-0.513,12.246,-0.467,1.58,79.0,52.0
67136,4055,2.16.1,1,Jos Buttler,509,True,Kieron Pollard,210,Iqbal Abdulla,85,False,SEAM,25.874,,0,0,0,,-0.121,5.343,-0.133,0.654,47.0,44.0
67137,4055,2.16.2,2,Jos Buttler,509,True,Kieron Pollard,210,Iqbal Abdulla,85,False,SEAM,25.682,,6,6,6,,0.002,5.722,0.269,0.645,72.0,92.0
67138,4055,2.16.3,3,Jos Buttler,509,True,Kieron Pollard,210,Iqbal Abdulla,85,False,SEAM,25.509,,6,6,6,,-0.021,5.307,0.061,0.716,70.0,94.0
67139,4055,2.16.4,4,Jos Buttler,509,True,Kieron Pollard,210,Iqbal Abdulla,85,False,SEAM,24.681,c Shane Watson b Iqbal Abdulla,0,0,0,,-0.531,5.117,-0.755,0.813,0.0,0.0
67832,4058,2.13.6,6,Jos Buttler,509,True,Rohit Sharma,107,Zaheer Khan,165,False,FAST_SEAM,34.386,,0,0,0,,0.052,8.726,-0.327,0.8,33.0,33.0
67834,4058,2.14.2,2,Jos Buttler,509,True,Rohit Sharma,107,Chris Morris,836,True,FAST_SEAM,40.249,,0,0,0,,-0.443,5.758,-0.202,0.719,36.0,44.0
67835,4058,2.14.3,3,Jos Buttler,509,True,Rohit Sharma,107,Chris Morris,836,True,FAST_SEAM,36.717,,1,1,1,,-0.61,12.357,-0.388,1.817,86.0,36.0
67837,4058,2.14.5,5,Jos Buttler,509,True,Rohit Sharma,107,Chris Morris,836,True,FAST_SEAM,37.951,,1,1,1,,-0.239,6.601,0.089,0.661,81.0,47.0
68697,4062,1.16.3,3,Jos Buttler,509,True,Parthiv Patel,44,Pradeep Sahu,2745,False,SEAM,25.046,,6,6,6,,-0.39,8.731,-0.399,0.694,74.0,87.0
68698,4062,1.16.4,4,Jos Buttler,509,True,Parthiv Patel,44,Pradeep Sahu,2745,False,SEAM,26.062,,1,1,1,,-0.122,2.263,-0.045,0.553,46.0,86.0
68700,4062,1.16.6,6,Jos Buttler,509,True,Parthiv Patel,44,Pradeep Sahu,2745,False,SEAM,25.279,,1,1,1,,-0.006,3.665,-0.056,0.513,32.0,75.0
68701,4062,1.17.1,1,Jos Buttler,509,True,Parthiv Patel,44,Sandeep Sharma,1112,True,MEDIUM_SEAM,27.358,,0,0,0,,-0.705,3.851,-0.629,0.416,46.0,39.0
68702,4062,1.17.2,2,Jos Buttler,509,True,Parthiv Patel,44,Sandeep Sharma,1112,True,MEDIUM_SEAM,39.696,,4,4,4,,-0.832,3.294,-0.834,0.405,46.0,6.0
68703,4062,1.17.3,3,Jos Buttler,509,True,Parthiv Patel,44,Sandeep Sharma,1112,True,MEDIUM_SEAM,35.852,,0,0,0,,-0.76,2.139,-0.714,0.258,45.0,44.0
68704,4062,1.17.4,4,Jos Buttler,509,True,Parthiv Patel,44,Sandeep Sharma,1112,True,MEDIUM_SEAM,39.875,,1,0,1,Wd,-1.049,14.403,-1.308,1.924,5.0,5.0
68705,4062,1.17.5,4,Jos Buttler,509,True,Parthiv Patel,44,Sandeep Sharma,1112,True,MEDIUM_SEAM,39.383,,1,1,1,,-1.061,4.108,-1.157,0.373,34.0,46.0
68707,4062,1.17.7,6,Jos Buttler,509,True,Parthiv Patel,44,Sandeep Sharma,1112,True,MEDIUM_SEAM,37.745,,2,2,2,,-0.842,3.681,-0.792,0.348,12.0,27.0
68709,4062,1.18.2,2,Jos Buttler,509,True,Parthiv Patel,44,Mohit Sharma,1107,False,SEAM,37.53,,4,4,4,,-0.426,5.005,-0.438,0.434,63.0,6.0
68710,4062,1.18.3,3,Jos Buttler,509,True,Parthiv Patel,44,Mohit Sharma,1107,False,SEAM,28.74,,4,4,4,,-0.387,8.887,-0.663,0.877,56.0,6.0
68711,4062,1.18.4,4,Jos Buttler,509,True,Parthiv Patel,44,Mohit Sharma,1107,False,SEAM,32.901,,0,0,0,,-0.531,3.301,-0.564,0.264,5.0,5.0
